category,start_line,end_line,function,estimated_lines
utility/math/mobility,782,790,haversine_km,9
utility/math/mobility,791,794,format_big,4
utility/math/mobility,795,805,scenario_multiplier,11
utility/math/mobility,806,815,variant_calibration_values,10
utility/math/mobility,816,875,make_bilateral_passenger_matrix,60
utility/math/mobility,876,894,calculate_metrics,19
utility/math/mobility,895,928,make_infectivity_kernel,34
utility/math/mobility,929,935,import_seed_probability,7
utility/math/mobility,936,946,keep_country_names,11
utility/math/mobility,947,991,calibrate_cfr_profile_to_weighted_target,45
age/geography/data loading,992,1058,make_age_group_parameters,67
age/geography/data loading,1059,1083,detect_current_app_dir,25
age/geography/data loading,1084,1091,age_distribution_search_dirs,8
age/geography/data loading,1092,1116,find_age_distribution_file,25
age/geography/data loading,1117,1131,normalize_age_distribution_matrix,15
age/geography/data loading,1132,1154,extract_age_group_matrix,23
age/geography/data loading,1155,1201,load_external_country_age_distribution,47
age/geography/data loading,1202,1280,make_country_age_distribution,79
age/geography/data loading,1281,1292,fix_country_polygons_for_leaflet,12
age/geography/data loading,1293,1344,load_world_country_polygons,52
age/geography/data loading,1345,1349,world_polygon_available,5
age/geography/data loading,1350,1356,model_age_share_from_country_distribution,7
age/geography/data loading,1357,1391,update_age_params_for_model_age_share,35
age/geography/data loading,1392,1399,format_country_age_distribution_for_display,8
age/geography/data loading,1400,1423,format_age_parameters_for_display,24
containment/diagnostics,1424,1440,make_containment_preset_table,17
containment/diagnostics,1441,1533,make_containment_schedule,93
containment/diagnostics,1534,1550,containment_multipliers_for_day,17
containment/diagnostics,1551,1556,containment_is_active_for_day,6
containment/diagnostics,1557,1565,containment_transmission_vector_for_day,9
containment/diagnostics,1566,1576,apply_containment_to_passenger_matrix,11
containment/diagnostics,1577,1622,format_containment_schedule_for_display,46
containment/diagnostics,1623,1673,calculate_horizon_diagnostics,51
containment/diagnostics,1674,2538,calculate_dynamic_diagnostics,865
server helpers/scenario/dynamic,2539,6633,server,4095
